SiteCode,Regions,Country,Site name,National name,Global KBA criteria,KBA Classification,Ecosystems,Latitude,Longitude,Elevation (m),Area (Km2),PA/OECM coverage (%),Legacy site,Year of assessment
14899,South America,Peru,Río Mantaro-Cordillera Central,Río Mantaro-Cordillera Central,B2,Global,terrestrial,-12.077,-74.528,1260 to 3626,143.148209,,Yes,2023
14905,South America,Peru,Chancay - Zaña,Chancay - Zaña,"A1a,A1b,A1e,B1,B2",Global,terrestrial,-6.9428,-79.0547,400 to 3950,490.271546,21.1,Yes,2023
14910,South America,Peru,Bosques Secos de Salitral - Huarmaca - Olmos,Bosques Secos de Salitral - Huarmaca - Olmos,"A1a,B2",Global,terrestrial,-5.6327,-79.7562,150 to 1200,1232.932986,,Yes,2023
14911,South America,Peru,Reserva Nacional de Paracas,Reserva Nacional de Paracas,"A1a,A1b,A1c,A1e,B1,B2",Global,"marine, terrestrial",-14.1532,-76.2808,1 to 750,3358.244467,70.43,Yes,2023
14916,South America,Peru,Carpish,Carpish,"A1a,A1b,A1e,B1,B2",Global,terrestrial,-9.6844,-76.0876,750 to 4400,2349.039601,18.6,Yes,2023
14920,South America,Peru,Manu,Manu,"A1a,A1b,A1c,A1e,B1,B2",Global,terrestrial,-12.0851,-71.6986,200 to 4050,16987.49376,100,Yes,2023
19122,South America,Peru,Parque Nacional Cerros de Amotape,Parque Nacional Cerros de Amotape,"A1a,A1b,A1c,B1,B2",Global,"terrestrial, freshwater",-3.9902,-80.4758,50 to 1550,1516.688835,94.5,Yes,2023
23935,South America,Peru,Santuario Histórico Bosque de Pomac,Santuario Histórico Bosque de Pomac,A1b,Global,"terrestrial, freshwater",-6.476,-79.7771,60 to 200,58.900011,100,Yes,2023
23942,South America,Peru,Manglares de San Pedro - Vice - Chulliyache,Manglares de San Pedro - Vice - Chulliyache,"A1a,B1",Global,"terrestrial, marine",-5.545,-80.866,11,72.179739,39.8,Yes,2024
24025,South America,Peru,Laguna de Chacas,Laguna de Chacas,,Global,"freshwater, terrestrial",-15.3893,-70.2242,4000,9.225701,100,Yes,2015
24027,South America,Peru,Cotahuasi - Uchumiri,Cotahuasi - Uchumiri,"B1,B2",Global,terrestrial,-15.067,-72.805,920 to 6093,4902.421751,73.76,Yes,2023
24028,South America,Peru,Isla Foca,Isla Foca,"A1d,D1a",Global,"marine, terrestrial",-5.2474,-81.1976,50,0.43053,100,Yes,2024
24457,South America,Peru,Río Cajamarca,Río Cajamarca,"A1a,B2",Global,"terrestrial, freshwater",-7.105,-78.401,2724 to 3572,387.215267,,Yes,2023
24458,South America,Peru,El Molino,El Molino,"A1a,A1b,A1e,B1,B2",Global,terrestrial,-7.7844,-77.7826,1080 to 4200,1198.134683,,Yes,2023
24459,South America,Peru,Bosques secos del Marañón,Bosques secos del Marañón,"A1a,A1b,A1e,B1,B2",Global,terrestrial,-6.745,-78.095,750 to 3750,1081.589988,17.8,Yes,2023
24461,South America,Peru,Laguna de los Cóndores,Laguna de los Cóndores,"A1b,A1e,B1,B2",Global,terrestrial,-6.9694,-77.5083,500 to 4300,2743.815675,18.2,Yes,2023
24464,South America,Peru,Bellavista,Bellavista,"A1a,A1b,B1,B2",Global,terrestrial,-5.56,-78.69,350 to 1250,347.65928,,Yes,2023
24589,South America,Peru,Estuario de Virrilá,Estuario de Virrilá,"B2,D1a",Global,terrestrial,-5.877,-80.666,1 to 60,422.051767,,Yes,2023
24591,South America,Peru,Cordillera de Colán,Cordillera de Colán,"A1a,A1b,A1c,A1d,B1,B2",Global,terrestrial,-5.53,-78.186,700 to 3600,1356.752345,51,Yes,2023
24595,South America,Peru,Los Santos,Los Santos,"A1a,A1c,B1,B2",Global,terrestrial,-5.968,-77.895,1150 to 3500,359.017996,5,Yes,2023
25154,South America,Peru,Cordillera Huayhuash y Nor Oyón,Cordillera Huayhuash y Nor Oyón,"A1a,A1b,A1d,B2",Global,terrestrial,-10.39,-76.87,3650 to 6600,784.197612,86.2,Yes,2023
25196,South America,Peru,Granada,Granada,A1b,Global,terrestrial,-5.939,-77.6765,2160 to 3900,29.72104,,Yes,2023
26758,South America,Peru,"Conchamarca, Ambo","Conchamarca, Ambo","A1a,A1e",Global,"terrestrial, freshwater",-10.0572,-76.165,2029 to 4384,157.460153,,Yes,2024
26760,South America,Peru,Llamaquizú stream,Arroyo Llamaquizú ,"A1a,A1b,A1e,B1",Global,"terrestrial, freshwater",-10.6169,-75.3662,1350 to 2950,127.676485,0.1,Yes,2023
29755,South America,Peru,Celendín,Celendín,"A1a,A1b,A1e,B1,B2",Global,terrestrial,-6.938,-78.293,3200 to 4000,77.765488,,Yes,2023
29760,South America,Peru,Phara,Phara,A1e,Global,"terrestrial, freshwater",-14.0907,-69.6977,2500 to 3800,133.620586,,Yes,2023
47168,South America,Peru,Huacho,Huacho,"A1a,B1",Global,terrestrial,-11.283,-77.487,100 to 500,12.761406,,No,2023
47169,South America,Peru,Huasahuasi,Huasahuasi,"A1a,A1e",Global,terrestrial,-11.2805,-75.5883,2900 to 3400,42.235766,,No,2023
47170,South America,Peru,Lurin valley,Lurin valley,"A1a,A1e",Global,terrestrial,-12.1,-76.53,1464 to 3350,101.186448,,No,2023
47171,South America,Peru,Maraynioc Puna ,Maraynioc Puna ,"A1a,A1e,B1",Global,terrestrial,-11.3489,-75.4684,2000 to 4450,9.810935,,No,2023
47172,South America,Peru,Otuzco valley,Otuzco valley,"A1a,A1e,B1,B2",Global,terrestrial,-7.91,-78.56,2285 to 3211,79.917128,,No,2023
47173,South America,Peru,Rimac Valley,Rimac Valley,"A1a,A1e,B1",Global,terrestrial,-11.98,-76.74,572 to 2030,165.263266,,No,2023
47174,South America,Peru,Río Abiseo National Park buffer zone,Zona de Amortiguamiento del Parque Nacional Río Abiseo,"A1a,A1b,A1e,B1,B2",Global,terrestrial,-7.58,-77.366,321 to 4450,6449.135589,,No,2023
47175,South America,Peru,Rio Aycata valley,Rio Aycata valley,"A1a,B1",Global,terrestrial,-16.06,-71.63,2450 to 3671,118.204561,,No,2023
47176,South America,Peru,Río Mantaro,Río Mantaro ,"A1a,A1b,B2",Global,terrestrial,-12.9463,-74.3093,2241 to 4142,904.14446,0.27,No,2023
47177,South America,Peru,Rio Santa Valley (Santa Province),Valle del Río Santa,"A1a,A1b,A1d,B1",Global,terrestrial,-8.73,-78.03,1309 to 4890,372.831693,,No,2023
47178,South America,Peru,San Juan Cajamarca,San Juan Cajamarca,"A1a,B1,B2",Global,terrestrial,-7.23,-78.42,2415 to 3512,37.623943,,No,2023
100062,South America,Peru,Apacheta-Pilpichaca,Apacheta-Pilpichaca,"A1b,B2",Global,terrestrial,-13.381,-74.814,3550 to 5050,159.916986,,No,2023
100063,South America,Peru,Huaytapallana Regional Conservation Area,Área de Conservación Regional Huaytapallana,"A1a,B2",Global,terrestrial,-11.88,-75.03,3700 to 5560,224.244408,100,No,2023
100064,South America,Peru,Cajabamba,Cajabamba,"A1a,A1e,B1",Global,terrestrial,-7.5756,-77.9528,2900 to 4430,41.677251,,No,2023
100065,South America,Peru,Puyu Sacha,Puyu Sacha,"A1a,A1e,B1,B2",Global,terrestrial,-12.822,-73.887,894 to 4393,15.862225,,No,2023
100066,South America,Peru,Jaen,Jaen,"A1b,B1,B2",Global,terrestrial,-5.8295,-78.7284,500 to 1000,64.526833,,No,2023
100068,South America,Peru,Nevado Bolívar,Nevado Bolívar,"A1a,A1b,A1e,B2",Global,terrestrial,-7.13,-77.71,2832 to 4670,39.855646,,No,2023
100069,South America,Peru,Occopalca,Occopalca,"A1a,B1",Global,terrestrial,-15.58,-71.05,4420 to 4500,22.222064,,No,2023
100070,South America,Peru,Pelagatos,Pelagatos,"A1a,A1b,B1,B2",Global,terrestrial,-8.22,-77.78,3600 to 4830,150.031633,,No,2023
100071,South America,Peru,Pucara,Pucara,A1a,Global,terrestrial,-6.0352,-79.1419,1900 to 2000,34.523468,,No,2023
100072,South America,Peru,Reserva Paisajística Nor Yauyos Cochas and Buffer zone,Reserva Paisajistica Nor Yauyos Cochas y zona de amortiguamiento,"A1a,A1b,B1,B2",Global,terrestrial,-12.091,-75.835,2650 to 5850,3309.012155,65,No,2023
100073,South America,Peru,Araza River,Río Araza,"A1b,A1e,B1,B2",Global,"terrestrial, freshwater",-13.548,-71.0089,1000 to 5350,365.499269,,No,2023
100074,South America,Peru,Huayllay National Sanctuary,Santuario Nacional Huayllay,A1a,Global,"terrestrial, freshwater",-10.9555,-76.3387,4200 to 4500,68.168332,58.45,No,2023
