"SiteCode","Regions","Country","Site name","National name","Global KBA criteria","KBA Classification","Ecosystems","Latitude","Longitude","Elevation (m)","Area (Km2)","PA/OECM coverage (%)","Legacy site","Year of assessment"
"14889","South America","Peru","Milpo","Milpo","","Global/Regional TBD’ ","terrestrial","-9.9000","-75.7667","2800 to 4143","50.84611","","Yes","2015"
"14892","South America","Peru","Chaparrí","Chaparrí","A1a,B1,B2","Global","terrestrial","-6.5920","-79.3940","200 to 1650","403.430182","77.00","Yes","2023"
"14897","South America","Peru","Cutervo National Park and surrounding areas","Parque Nacional de Cutervo y alrededores","A1a,A1e,B1,B2","Global","terrestrial","-6.2310","-78.7900","1150 to 3500","82.086204","27.00","Yes","2023"
"14899","South America","Peru","Río Mantaro-Cordillera Central","Río Mantaro-Cordillera Central","B2","Global","terrestrial","-12.0770","-74.5280","1260 to 3626","143.148209","","Yes","2023"
"14905","South America","Peru","Chancay - Zaña","Chancay - Zaña","A1a,A1b,A1e,B1,B2","Global","terrestrial","-6.9428","-79.0547","400 to 3950","490.271546","21.10","Yes","2023"
"14910","South America","Peru","Bosques Secos de Salitral - Huarmaca - Olmos","Bosques Secos de Salitral - Huarmaca - Olmos","A1a,B2","Global","terrestrial","-5.6327","-79.7562","150 to 1200","1232.932986","","Yes","2023"
"14911","South America","Peru","Reserva Nacional de Paracas","Reserva Nacional de Paracas","A1a,A1b,A1c,A1e,B1,B2","Global","marine, terrestrial","-14.1532","-76.2808","1 to 750","3358.244467","70.43","Yes","2023"
"14916","South America","Peru","Carpish","Carpish","A1a,A1b,A1e,B1,B2","Global","terrestrial","-9.6844","-76.0876","750 to 4400","2349.039601","18.60","Yes","2023"
"14920","South America","Peru","Manu","Manu","A1a,A1b,A1c,A1e,B1,B2","Global","terrestrial","-12.0851","-71.6986","200 to 4050","16987.49376","100.00","Yes","2023"
"19122","South America","Peru","Parque Nacional Cerros de Amotape","Parque Nacional Cerros de Amotape","A1a,A1b,A1c,B1,B2","Global","terrestrial, freshwater","-3.9902","-80.4758","50 to 1550","1516.688835","94.50","Yes","2023"
"23935","South America","Peru","Santuario Histórico Bosque de Pomac","Santuario Histórico Bosque de Pomac","A1b","Global","terrestrial, freshwater","-6.4760","-79.7771","60 to 200","58.900011","100.00","Yes","2023"
"23942","South America","Peru","Manglares de San Pedro - Vice - Chulliyache","Manglares de San Pedro - Vice - Chulliyache","A1a,B1","Global","terrestrial, marine","-5.5450","-80.8660","11","72.179739","39.80","Yes","2024"
"24025","South America","Peru","Laguna de Chacas","Laguna de Chacas","","Global","freshwater, terrestrial","-15.3893","-70.2242","4000","9.225701","100.00","Yes","2015"
"24027","South America","Peru","Cotahuasi - Uchumiri","Cotahuasi - Uchumiri","B1,B2","Global","terrestrial","-15.0670","-72.8050","920 to 6093","4902.421751","73.76","Yes","2023"
"24028","South America","Peru","Isla Foca","Isla Foca","A1d,D1a","Global","marine, terrestrial","-5.2474","-81.1976","50","0.43053","100.00","Yes","2024"
"24457","South America","Peru","Río Cajamarca","Río Cajamarca","A1a,B2","Global","terrestrial, freshwater","-7.1050","-78.4010","2724 to 3572","387.215267","","Yes","2023"
"24458","South America","Peru","El Molino","El Molino","A1a,A1b,A1e,B1,B2","Global","terrestrial","-7.7844","-77.7826","1080 to 4200","1198.134683","","Yes","2023"
"24459","South America","Peru","Bosques secos del Marañón","Bosques secos del Marañón","A1a,A1b,A1e,B1,B2","Global","terrestrial","-6.7450","-78.0950","750 to 3750","1081.589988","17.80","Yes","2023"
"24461","South America","Peru","Laguna de los Cóndores","Laguna de los Cóndores","A1b,A1e,B1,B2","Global","terrestrial","-6.9694","-77.5083","500 to 4300","2743.815675","18.20","Yes","2023"
"24464","South America","Peru","Bellavista","Bellavista","A1a,A1b,B1,B2","Global","terrestrial","-5.5600","-78.6900","350 to 1250","347.65928","","Yes","2023"
